Main wall,,Upper Dome,,Lower Dome,
R [mm],Z [mm],R [mm],Z [mm],R [mm],Z [mm]
2000.00,-5897.00,1914.00,6640.00,1914.00,-6640.00
1675.00,-6300.00,1999.00,6542.00,1999.00,-6542.00
1651.00,-6331.00,2105.00,6468.00,2105.00,-6468.00
1737.40,-6566.84,2226.00,6422.00,2226.00,-6422.00
1800.00,-6777.00,2354.00,6406.00,2354.00,-6406.00
1840.00,-6777.00,2482.00,6422.00,2482.00,-6422.00
2099.00,-6777.00,2603.00,6468.00,2603.00,-6468.00
2649.00,-6777.00,2709.00,6542.00,2709.00,-6542.00
2800.00,-6777.44,2794.00,6640.00,2794.00,-6640.00
3586.86,-7704.72,1914.00,6640.00,1914.00,-6640.00
4093.86,-8228.72,,,,
4700.00,-8600.00,,,,
5487.94,-8600.00,,,,
5855.00,-8523.16,,,,
5855.00,-8293.02,,,,
5548.25,-8198.59,,,,
5237.09,-8035.89,,,,
5463.86,-7843.44,,,,
5777.66,-7955.50,,,,
6027.66,-8105.50,,,,
6627.66,-8105.50,,,,
6627.66,-7115.50,,,,
6027.66,-7115.50,,,,
5783.60,-7263.60,,,,
5276.38,-7712.58,,,,
4936.39,-7843.57,,,,
4614.77,-7601.54,,,,
3821.75,-6741.69,,,,
3510.58,-6433.00,,,,
3199.42,-6087.75,,,,
3199.42,-6087.75,,,,
3233.14,-6008.75,,,,
3267.62,-5929.75,,,,
3303.62,-5850.75,,,,
3341.87,-5771.75,,,,
3383.00,-5692.75,,,,
3427.62,-5613.75,,,,
3476.22,-5534.75,,,,
3529.21,-5455.75,,,,
3586.88,-5376.75,,,,
3649.42,-5297.75,,,,
3716.88,-5218.75,,,,
3789.21,-5139.75,,,,
3866.22,-5060.75,,,,
3947.62,-4981.75,,,,
4033.00,-4902.75,,,,
4121.87,-4823.75,,,,
4213.62,-4744.75,,,,
4307.62,-4665.75,,,,
4403.14,-4586.75,,,,
4499.42,-4507.75,,,,
5050.35,-3735.33,,,,
5076.33,-3695.65,,,,
5102.62,-3655.00,,,,
5120.06,-3627.60,,,,
5129.01,-3613.52,,,,
5142.11,-3592.56,,,,
5155.45,-3571.16,,,,
5163.85,-3557.45,,,,
5181.88,-3527.91,,,,
5185.13,-3522.51,,,,
5208.08,-3484.29,,,,
5225.87,-3454.21,,,,
5234.51,-3439.54,,,,
5246.44,-3418.95,,,,
5261.01,-3393.63,,,,
5266.64,-3383.70,,,,
5287.33,-3346.94,,,,
5304.95,-3315.21,,,,
5313.77,-3299.22,,,,
5324.32,-3279.78,,,,
5340.29,-3250.08,,,,
5343.16,-3244.66,,,,
5360.95,-3210.96,,,,
5366.65,-3200.13,,,,
5379.33,-3175.64,,,,
5393.15,-3148.63,,,,
5397.33,-3140.35,,,,
5414.27,-3106.54,,,,
5419.56,-3095.95,,,,
5431.73,-3071.19,,,,
5446.05,-3041.68,,,,
5448.76,-3036.01,,,,
5464.90,-3002.10,,,,
5472.45,-2986.15,,,,
5481.54,-2966.61,,,,
5498.87,-2928.80,,,,
5512.99,-2897.56,,,,
5525.30,-2869.92,,,,
5528.65,-2862.30,,,,
5543.49,-2828.24,,,,
5551.69,-2809.26,,,,
5558.67,-2792.89,,,,
5572.96,-2758.83,,,,
5578.10,-2746.54,,,,
5587.58,-2723.54,,,,
5604.47,-2681.79,,,,
5615.45,-2654.27,,,,
5630.81,-2614.93,,,,
5642.33,-2585.05,,,,
5657.12,-2545.84,,,,
5668.29,-2515.86,,,,
5683.41,-2474.36,,,,
5693.37,-2446.69,,,,
5705.38,-2412.51,,,,
5709.69,-2400.25,,,,
5717.58,-2377.52,,,,
5729.22,-2343.23,,,,
5735.97,-2323.21,,,,
5740.92,-2308.38,,,,
5752.22,-2273.96,,,,
5762.24,-2242.94,,,,
5763.36,-2239.43,,,,
5774.30,-2205.15,,,,
5788.36,-2160.03,,,,
5795.69,-2136.23,,,,
5806.05,-2101.77,,,,
5814.58,-2073.10,,,,
5816.27,-2067.35,,,,
5826.32,-2033.04,,,,
5836.08,-1998.87,,,,
5840.67,-1982.78,,,,
5845.90,-1964.27,,,,
5855.45,-1929.76,,,,
5866.79,-1887.98,,,,
5873.97,-1861.30,,,,
5883.04,-1826.71,,,,
5892.88,-1788.52,,,,
5900.59,-1758.41,,,,
5909.21,-1723.78,,,,
5918.96,-1683.89,,,,
5925.85,-1655.54,,,,
5934.03,-1620.90,,,,
5945.05,-1573.18,,,,
5949.76,-1552.62,,,,
5957.50,-1518.03,,,,
5964.97,-1483.72,,,,
5971.16,-1454.94,,,,
5972.29,-1449.69,,,,
5979.58,-1415.42,,,,
5986.71,-1380.73,,,,
5993.54,-1346.73,,,,
5997.23,-1328.27,,,,
6000.35,-1312.53,,,,
6007.07,-1278.00,,,,
6013.58,-1243.37,,,,
6019.80,-1209.34,,,,
6023.34,-1189.91,,,,
6026.00,-1175.19,,,,
6032.12,-1140.67,,,,
6038.04,-1105.92,,,,
6043.70,-1071.53,,,,
6049.48,-1035.65,,,,
6054.64,-1003.45,,,,
6060.00,-968.62,,,,
6065.11,-933.87,,,,
6069.98,-899.43,,,,
6074.64,-865.55,,,,
6075.67,-858.00,,,,
6079.30,-831.27,,,,
6083.84,-796.52,,,,
6088.15,-761.66,,,,
6092.22,-726.93,,,,
6096.07,-692.42,,,,
6099.72,-658.24,,,,
6101.91,-637.31,,,,
6103.29,-624.08,,,,
6106.76,-589.60,,,,
6110.05,-554.76,,,,
6113.10,-519.88,,,,
6115.92,-485.05,,,,
6118.52,-450.29,,,,
6120.91,-415.61,,,,
6123.10,-381.00,,,,
6125.10,-346.48,,,,
6126.93,-312.09,,,,
6128.24,-285.32,,,,
6128.61,-277.81,,,,
6130.18,-243.39,,,,
6131.56,-208.72,,,,
6132.75,-173.96,,,,
6133.72,-139.18,,,,
6134.48,-104.38,,,,
6135.01,-69.59,,,,
6135.34,-34.79,,,,
6135.45,0.00,,,,
6135.34,34.79,,,,
6135.01,69.59,,,,
6134.48,104.38,,,,
6133.72,139.18,,,,
6132.75,173.96,,,,
6131.56,208.72,,,,
6130.18,243.39,,,,
6128.61,277.81,,,,
6128.24,285.32,,,,
6126.93,312.09,,,,
6125.10,346.48,,,,
6123.10,381.00,,,,
6120.91,415.61,,,,
6118.52,450.29,,,,
6115.92,485.05,,,,
6113.10,519.88,,,,
6110.05,554.76,,,,
6106.76,589.60,,,,
6103.29,624.08,,,,
6101.91,637.31,,,,
6099.72,658.24,,,,
6096.07,692.42,,,,
6092.22,726.93,,,,
6088.15,761.66,,,,
6083.84,796.52,,,,
6079.30,831.27,,,,
6075.67,858.00,,,,
6074.64,865.55,,,,
6069.98,899.43,,,,
6065.11,933.87,,,,
6060.00,968.62,,,,
6054.64,1003.45,,,,
6049.48,1035.65,,,,
6043.70,1071.53,,,,
6038.04,1105.92,,,,
6032.12,1140.67,,,,
6026.00,1175.19,,,,
6023.34,1189.91,,,,
6019.80,1209.34,,,,
6013.58,1243.37,,,,
6007.07,1278.00,,,,
6000.35,1312.53,,,,
5997.23,1328.27,,,,
5993.54,1346.73,,,,
5986.71,1380.73,,,,
5979.58,1415.42,,,,
5972.29,1449.69,,,,
5971.16,1454.94,,,,
5964.97,1483.72,,,,
5957.50,1518.03,,,,
5949.76,1552.62,,,,
5945.05,1573.18,,,,
5934.03,1620.90,,,,
5925.85,1655.54,,,,
5918.96,1683.89,,,,
5909.21,1723.78,,,,
5900.59,1758.41,,,,
5892.88,1788.52,,,,
5883.04,1826.71,,,,
5873.97,1861.30,,,,
5866.79,1887.98,,,,
5855.45,1929.76,,,,
5845.90,1964.27,,,,
5840.67,1982.78,,,,
5836.08,1998.87,,,,
5826.32,2033.04,,,,
5816.27,2067.35,,,,
5814.58,2073.10,,,,
5806.05,2101.77,,,,
5795.69,2136.23,,,,
5788.36,2160.03,,,,
5774.30,2205.15,,,,
5763.36,2239.43,,,,
5762.24,2242.94,,,,
5752.22,2273.96,,,,
5740.92,2308.38,,,,
5735.97,2323.21,,,,
5729.22,2343.23,,,,
5717.58,2377.52,,,,
5709.69,2400.25,,,,
5705.38,2412.51,,,,
5693.37,2446.69,,,,
5683.41,2474.36,,,,
5668.29,2515.86,,,,
5657.12,2545.84,,,,
5642.33,2585.05,,,,
5630.81,2614.93,,,,
5615.45,2654.27,,,,
5604.47,2681.79,,,,
5587.58,2723.54,,,,
5578.10,2746.54,,,,
5572.96,2758.83,,,,
5558.67,2792.89,,,,
5551.69,2809.26,,,,
5543.49,2828.24,,,,
5528.65,2862.30,,,,
5525.30,2869.92,,,,
5512.99,2897.56,,,,
5498.87,2928.80,,,,
5481.54,2966.61,,,,
5472.45,2986.15,,,,
5464.90,3002.10,,,,
5448.76,3036.01,,,,
5446.05,3041.68,,,,
5431.73,3071.19,,,,
5419.56,3095.95,,,,
5414.27,3106.54,,,,
5397.33,3140.35,,,,
5393.15,3148.63,,,,
5379.33,3175.64,,,,
5366.65,3200.13,,,,
5360.95,3210.96,,,,
5343.16,3244.66,,,,
5340.29,3250.08,,,,
5324.32,3279.78,,,,
5313.77,3299.22,,,,
5304.95,3315.21,,,,
5287.33,3346.94,,,,
5266.64,3383.70,,,,
5261.01,3393.63,,,,
5246.44,3418.95,,,,
5234.51,3439.54,,,,
5225.87,3454.21,,,,
5208.08,3484.29,,,,
5185.13,3522.51,,,,
5181.88,3527.91,,,,
5163.85,3557.45,,,,
5155.45,3571.16,,,,
5142.11,3592.56,,,,
5129.01,3613.52,,,,
5120.06,3627.60,,,,
5102.62,3655.00,,,,
5076.33,3695.65,,,,
5050.35,3735.33,,,,
4499.42,4507.75,,,,
4403.14,4586.75,,,,
4307.62,4665.75,,,,
4213.62,4744.75,,,,
4121.87,4823.75,,,,
4033.00,4902.75,,,,
3947.62,4981.75,,,,
3866.22,5060.75,,,,
3789.21,5139.75,,,,
3716.88,5218.75,,,,
3649.42,5297.75,,,,
3586.88,5376.75,,,,
3529.21,5455.75,,,,
3476.22,5534.75,,,,
3427.62,5613.75,,,,
3383.00,5692.75,,,,
3341.87,5771.75,,,,
3303.62,5850.75,,,,
3267.62,5929.75,,,,
3233.14,6008.75,,,,
3199.42,6087.75,,,,
3199.42,6087.75,,,,
3510.58,6433.00,,,,
3821.75,6741.69,,,,
4614.77,7601.54,,,,
4936.39,7843.57,,,,
5276.38,7712.58,,,,
5783.60,7263.60,,,,
6027.66,7115.50,,,,
6627.66,7115.50,,,,
6627.66,8105.50,,,,
6027.66,8105.50,,,,
5777.66,7955.50,,,,
5463.86,7843.44,,,,
5237.09,8035.89,,,,
5548.25,8198.59,,,,
5855.00,8293.02,,,,
5855.00,8523.16,,,,
5487.94,8600.00,,,,
4700.00,8600.00,,,,
4093.86,8228.72,,,,
3586.86,7704.72,,,,
2800.00,6777.44,,,,
2649.00,6777.00,,,,
2099.00,6777.00,,,,
1840.00,6777.00,,,,
1800.00,6777.00,,,,
1737.40,6566.84,,,,
1651.00,6331.00,,,,
1675.00,6300.00,,,,
2000.00,5897.00,,,,
2000.00,5897.00,,,,
1703.12,4527.76,,,,
1696.69,4493.61,,,,
1690.46,4459.49,,,,
1684.53,4425.21,,,,
1678.91,4390.95,,,,
1673.61,4356.78,,,,
1668.57,4322.72,,,,
1663.75,4288.60,,,,
1659.20,4254.42,,,,
1654.92,4220.28,,,,
1650.89,4186.17,,,,
1647.12,4152.12,,,,
1643.57,4118.18,,,,
1640.18,4084.21,,,,
1637.01,4050.21,,,,
1634.04,4016.24,,,,
1485.00,2700.00,,,,
1485.00,2300.00,,,,
1485.00,2000.00,,,,
1485.00,1707.42,,,,
1485.00,1673.96,,,,
1485.00,1640.49,,,,
1485.00,1607.03,,,,
1485.00,1573.56,,,,
1485.00,1540.10,,,,
1485.00,1506.63,,,,
1485.00,1473.16,,,,
1485.00,1439.69,,,,
1485.00,1406.22,,,,
1485.00,1372.75,,,,
1485.00,1339.28,,,,
1485.00,1250.00,,,,
1495.00,1250.00,,,,
1495.00,1238.92,,,,
1495.00,1205.44,,,,
1495.00,1171.96,,,,
1495.00,1138.48,,,,
1495.00,1105.00,,,,
1495.00,1071.52,,,,
1495.00,1038.04,,,,
1495.00,1004.55,,,,
1495.00,971.07,,,,
1495.00,937.58,,,,
1495.00,904.10,,,,
1495.00,870.61,,,,
1495.00,837.13,,,,
1495.00,803.64,,,,
1495.00,770.16,,,,
1495.00,736.67,,,,
1495.00,703.19,,,,
1495.00,669.70,,,,
1495.00,636.21,,,,
1495.00,602.73,,,,
1495.00,569.24,,,,
1495.00,535.76,,,,
1495.00,502.27,,,,
1495.00,468.79,,,,
1495.00,435.30,,,,
1495.00,401.82,,,,
1495.00,368.33,,,,
1495.00,334.85,,,,
1495.00,301.36,,,,
1495.00,267.88,,,,
1495.00,234.39,,,,
1495.00,200.91,,,,
1495.00,167.42,,,,
1495.00,133.94,,,,
1495.00,100.45,,,,
1495.00,66.97,,,,
1495.00,33.48,,,,
1495.00,0.00,,,,
1495.00,-33.48,,,,
1495.00,-66.97,,,,
1495.00,-100.45,,,,
1495.00,-133.94,,,,
1495.00,-167.42,,,,
1495.00,-200.91,,,,
1495.00,-234.39,,,,
1495.00,-267.88,,,,
1495.00,-301.36,,,,
1495.00,-334.85,,,,
1495.00,-368.33,,,,
1495.00,-401.82,,,,
1495.00,-435.30,,,,
1495.00,-468.79,,,,
1495.00,-502.27,,,,
1495.00,-535.76,,,,
1495.00,-569.24,,,,
1495.00,-602.73,,,,
1495.00,-636.21,,,,
1495.00,-669.70,,,,
1495.00,-703.19,,,,
1495.00,-736.67,,,,
1495.00,-770.16,,,,
1495.00,-803.64,,,,
1495.00,-837.13,,,,
1495.00,-870.61,,,,
1495.00,-904.10,,,,
1495.00,-937.58,,,,
1495.00,-971.07,,,,
1495.00,-1004.55,,,,
1495.00,-1038.04,,,,
1495.00,-1071.52,,,,
1495.00,-1105.00,,,,
1495.00,-1138.48,,,,
1495.00,-1171.96,,,,
1495.00,-1205.44,,,,
1495.00,-1238.92,,,,
1495.00,-1250.00,,,,
1485.00,-1250.00,,,,
1485.00,-1339.28,,,,
1485.00,-1372.75,,,,
1485.00,-1406.22,,,,
1485.00,-1439.69,,,,
1485.00,-1473.16,,,,
1485.00,-1506.63,,,,
1485.00,-1540.10,,,,
1485.00,-1573.56,,,,
1485.00,-1607.03,,,,
1485.00,-1640.49,,,,
1485.00,-1673.96,,,,
1485.00,-1707.42,,,,
1485.00,-2000.00,,,,
1485.00,-2300.00,,,,
1485.00,-2700.00,,,,
1634.04,-4016.24,,,,
1637.01,-4050.21,,,,
1640.18,-4084.21,,,,
1643.57,-4118.18,,,,
1647.12,-4152.12,,,,
1650.89,-4186.17,,,,
1654.92,-4220.28,,,,
1659.20,-4254.42,,,,
1663.75,-4288.60,,,,
1668.57,-4322.72,,,,
1673.61,-4356.78,,,,
1678.91,-4390.95,,,,
1684.53,-4425.21,,,,
1690.46,-4459.49,,,,
1696.69,-4493.61,,,,
1703.12,-4527.76,,,,
2000.00,-5897.00,,,,
